Country_Name;Country_Code;Year;Region ;Armed_forces_personnel;Military_expenditure;GDP_growth;Size
Australia;AUS;2000;Oceania ;0,54;1,83;3,93;19153000
Austria;AUT;2000;Central Europe ;1,04;0,98;3,38;8011566
Belgium;BEL;2000;Western Europe ;0,89;1,34;3,72;10251250
Denmark;DNK;2000;Northern Europe ;0,76;1,46;3,75;5339616
Estonia;EST;2000;Eastern Europe ;1,12;1,38;10,09;1396985
Finland;FIN;2000;Northern Europe ;1,36;1,24;5,77;5176209
France;FRA;2000;Western Europe ;1,42;2,09;3,92;60912500
Germany;DEU;2000;Central Europe ;1,54;1,36;2,91;82211508
Greece;GRC;2000;Southern Europe ;3,33;3,47;3,92;10805808
India;IND;2000;Asia;0,60;2,95;3,84;1056575548
Ireland;IRL;2000;Northwestern Europe ;0,62;0,70;9,40;3805174
Italy;ITA;2000;Southern Europe ;2,16;1,74;3,79;56942108
Luxembourg;LUX;2000;Central Europe ;0,74;0,60;8,24;436300
Netherlands;NLD;2000;Western Europe ;0,70;1,43;4,20;15925513
New Zealand;NZL;2000;Oceania ;2,54;1,67;2,91;3857700
Norway;NOR;2000;Northern Europe ;1,12;1,71;3,20;4490967
Portugal;PRT;2000;Western Europe ;1,72;1,86;3,82;10289898
Spain;ESP;2000;Western Europe ;1,32;1,73;5,25;40567864
Sweden;SWE;2000;Northern Europe ;1,96;1,83;4,77;8872109
Turkey;TUR;2000;Asia;3,86;3,66;6,93;63240196
United Kingdom;GBR;2000;Northwestern Europe ;0,73;2,37;3,51;58892514
United States;USA;2000;America;3,54;3,11;4,13;282162411
